Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
0.01,5.0160288109418705,3033330.0711096954,0.02,1.2552,0.97,144302.62170614567,3.5000000000000004,190.0112624708624,0.14041596067720397,743.8918812249259,3.0621224790077015,1.8134903712569654,1000,0.07,0.7
0.02,5.0081597207607995,3646318.3346829894,0.02,1.254,0.97,173837.7084015358,3.5000000000000004,189.98391696897184,0.14284201197613688,743.9266606793551,3.0526544355524696,1.8126632732321932,1000,0.07,0.7
0.03,5.000068954339444,3754630.5542819654,0.02,1.254,0.97,179001.47807788986,3.5000000000000004,189.94234597352306,0.14535168753529026,743.9795381065089,3.0428894369039186,1.8118278299002348,1000,0.07,0.7
0.04,4.991941616571923,3776321.349926411,0.02,1.254,0.97,180035.58367760413,3.5000000000000004,189.88726815944136,0.1478825281810332,744.049605657957,3.033068171704456,1.8109909166864337,1000,0.07,0.7
0.05,4.983807387084397,3779523.6300801584,0.02,1.254,0.97,180188.251928835,3.5000000000000004,189.81942730527783,0.1504231748934668,744.135925042898,3.0232305901049656,1.8101536220859646,1000,0.07,0.7
0.060000000000000005,4.975672466481895,3779844.8139155516,0.02,1.254,0.97,180203.56432254164,3.5000000000000004,189.739541266703,0.15297007179254862,744.2375920960468,3.013386221578092,1.8093161731112544,1000,0.07,0.7
0.07,4.967537904906586,3779678.0516169597,0.02,1.254,0.97,180195.61395365605,3.5000000000000004,189.64829238913805,0.15552144682675717,744.3537486935425,3.0035378498004968,1.8084786082793323,1000,0.07,0.7
0.08,4.959403951093349,3779395.7151607103,0.02,1.254,0.97,180182.15360322924,3.5000000000000004,189.5463276826559,0.15807587948065827,744.4835822931498,2.9936871348244476,1.807640936788243,1000,0.07,0.7
0.09,4.951270725591287,3779057.3657567347,0.02,1.254,0.97,180166.02284347996,3.5000000000000004,189.43426041874653,0.1606320757626416,744.6263237006926,2.9838354866804897,1.8068031631481556,1000,0.07,0.7
0.09999999999999999,4.9431383250545275,3778674.106149406,0.02,1.254,0.97,180147.75099616835,3.5000000000000004,189.31267185747438,0.16318883009122764,744.7812447009297,2.9739842039659097,1.8059652909973904,1000,0.07,0.7
